ip,port,location,ping,type,anonymity
103.109.3.85,1080,Indonesia,1080,SOCKS4,High
103.11.99.247,4145,Indonesia,1140,SOCKS4,High
202.169.246.30,4145,Indonesia,1240,SOCKS4,High
202.129.189.2,4145,Indonesia,1120,SOCKS4,High
182.23.55.2,4145,Indonesia,1160,SOCKS4,High
103.232.33.14,4145,Indonesia,1100,SOCKS4,High
110.139.128.21,4145,Indonesia,1360,SOCKS4,High
182.253.226.60,4145,Indonesia,1100,SOCKS4,High
116.0.0.177,4145,Indonesia,1140,SOCKS4,High
110.232.81.52,4145,Indonesia,1340,SOCKS4,High
103.52.2.25,4145,Indonesia,1100,SOCKS4,High
103.36.8.173,4145,Indonesia,980,SOCKS4,High
103.28.114.173,4145,Indonesia,1280,SOCKS4,High
36.67.116.13,4145,Indonesia,1380,SOCKS4,High
203.160.58.116,4145,Indonesia,1680,SOCKS4,High
182.253.192.203,4145,Indonesia,1120,SOCKS4,High
202.150.174.142,4145,Indonesia,1240,SOCKS4,High
43.247.33.232,4145,Indonesia,1180,SOCKS4,High
36.89.50.58,4145,Indonesia,1300,SOCKS4,High
103.207.97.147,4145,Indonesia,1360,SOCKS4,High
110.76.148.162,4145,Indonesia,1040,SOCKS4,High
103.94.132.22,4145,Indonesia,1140,SOCKS4,High
103.52.3.129,4145,Indonesia,1100,SOCKS4,High
203.128.94.114,4145,Indonesia,1460,SOCKS4,High
182.23.40.37,51372,Indonesia,1220,SOCKS4,High
103.80.239.49,4145,Indonesia,1720,SOCKS4,High
103.113.3.106,4145,Indonesia,1760,SOCKS4,High
36.66.133.231,4145,Indonesia,1660,SOCKS4,High
103.31.225.70,4145,Indonesia,1080,SOCKS4,High
43.248.212.17,4145,Indonesia,1140,SOCKS4,High
202.56.165.122,4145,Indonesia,1200,SOCKS4,High
182.253.38.175,4145,Indonesia,1200,SOCKS4,High
111.68.27.250,4145,Indonesia,1240,SOCKS4,High
103.229.163.30,4145,Indonesia,1200,SOCKS4,High
103.229.163.19,4145,Indonesia,1200,SOCKS4,High
103.60.180.57,4145,Indonesia,1220,SOCKS4,High
103.228.117.105,4145,Indonesia,1120,SOCKS4,High
103.31.225.66,4145,Indonesia,1100,SOCKS4,High
103.77.156.229,4145,Indonesia,1220,SOCKS4,High
103.234.208.155,4145,Indonesia,1100,SOCKS4,High
103.229.163.28,4145,Indonesia,1200,SOCKS4,High
103.15.243.162,4145,Indonesia,1400,SOCKS4,High
103.57.195.29,4145,Indonesia,3140,SOCKS4,High
203.190.43.114,4145,Indonesia,1780,SOCKS4,High
202.150.141.93,4145,Indonesia,1440,SOCKS4,High
202.169.236.214,4145,Indonesia,1180,SOCKS4,High
103.23.34.196,4145,Indonesia,1140,SOCKS4,High
